"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002813]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","Licença Maternidade","000002813","2018-05-05T00:00:00","2018-09-02T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024119]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","Licença Maternidade","000024119","2017-09-02T00:00:00","2017-12-31T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024119]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","Licença Maternidade","000024119","2018-08-31T00:00:00","2018-12-29T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","Afastado Acid. Trabalho","000027942","2019-06-09T00:00:00","2019-09-11T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","Afastado Acid. Trabalho","000033496","2019-07-08T00:00:00","2051-01-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000036091]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","Licença Maternidade","000036091","2018-08-01T00:00:00","2018-11-29T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","Doença Ocupacional","000036140","2019-06-18T00:00:00","2051-01-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","Afastado Acid. Trabalho","000040833","2019-08-29T00:00:00","2019-09-05T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","Afastado Acid. Trabalho","000040833","2019-09-05T00:00:00","2051-01-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000041]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000041","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000046]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000046","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000058]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000058","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000000078","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000121]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000121","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000218]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000218","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000000327","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000617]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000617","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000000635]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000000635","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000000701","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000000905","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000001146","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001207]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001207","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001228]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001228","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000001414","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001548]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001548","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001564]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001564","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000001884","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001919]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001919","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000001940]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000001940","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002150]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002150","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002229","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002232","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002327]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002327","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002329]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002329","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002334]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002334","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002367]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002367","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002446]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002446","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002471]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002471","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002493]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002493","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002670","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002781]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002781","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002820","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002843]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002843","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002864","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002886","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003113","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003115","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003157","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003199","2019-09-11T00:00:00","2019-10-01T00:00"
